DATE,ABC,BCD,CDE,DEF,EFG,FGH,GHI,HIJ,IJK,JKL
5/31/12,0.44,0.41,0.85,0.34,0.18,0.09,1.40,0.36,1.11,0.40
6/30/12,0.44,0.41,0.85,0.34,0.18,0.09,1.40,0.36,1.11,0.40
7/31/12,0.41,0.42,0.85,0.23,0.15,0.14,1.09,0.20,1.11,0.47
8/31/12,0.41,0.42,0.85,0.23,0.15,0.14,1.09,0.20,1.11,0.47
9/30/12,0.41,0.42,0.85,0.23,0.15,0.14,1.09,0.20,1.11,0.47
10/31/12,0.66,0.45,0.35,0.26,0.19,0.13,1.43,0.11,1.70,0.46
11/30/12,0.66,0.45,0.35,0.26,0.19,0.13,1.43,0.11,1.70,0.46
12/31/12,0.66,0.45,0.35,0.26,0.19,0.13,1.43,0.11,1.70,0.46
1/31/13,0.48,0.42,0.44,0.28,0.17,0.13,0.83,0.33,0.90,0.53
2/28/13,0.48,0.42,0.44,0.28,0.17,0.13,0.83,0.33,0.90,0.53
3/31/13,0.48,0.42,0.44,0.28,0.17,0.13,0.83,0.33,0.90,0.53
4/30/13,0.36,0.48,0.48,0.34,0.16,0.10,1.59,0.40,0.97,0.53
5/31/13,0.36,0.48,0.48,0.34,0.16,0.10,1.59,0.40,0.97,0.53
6/30/13,0.36,0.48,0.48,0.34,0.16,0.10,1.59,0.40,0.97,0.53
7/31/13,0.40,0.47,0.48,0.26,0.18,0.10,1.46,0.24,1.23,-0.06
8/31/13,0.40,0.47,0.48,0.26,0.18,0.10,1.46,0.24,1.23,-0.06
9/30/13,0.40,0.47,0.48,0.26,0.18,0.10,1.46,0.24,1.23,-0.06
10/31/13,0.69,0.50,0.51,0.34,0.22,0.64,1.56,0.12,1.89,0.43
11/30/13,0.69,0.50,0.51,0.34,0.22,0.64,1.56,0.12,1.89,0.43
12/31/13,0.69,0.50,0.51,0.34,0.22,0.64,1.56,0.12,1.89,0.43
1/31/14,0.55,0.53,0.48,0.36,-0.61,0.08,1.68,0.40,0.76,0.43
2/28/14,0.55,0.53,0.48,0.36,-0.61,0.08,1.68,0.40,0.76,0.43
3/31/14,0.55,0.53,0.48,0.36,-0.61,0.08,1.68,0.40,0.76,0.43
4/30/14,0.43,0.43,0.52,0.43,0.18,0.11,1.63,0.54,1.37,0.49
5/31/14,0.43,0.43,0.52,0.43,0.18,0.11,1.63,0.54,1.37,0.49
6/30/14,0.43,0.43,0.52,0.43,0.18,0.11,1.63,0.54,1.37,0.49
7/31/14,0.47,0.75,0.54,0.29,0.18,0.07,1.33,0.23,0.01,0.45
8/31/14,0.47,0.75,0.54,0.29,0.18,0.07,1.33,0.23,0.01,0.45
