DATE,AAPL,BA,CAT,DIS,EBAY,F,GOOGL,HOG,IBM,JPM
5/31/12,82.53,69.61,87.62,45.71,16.49,10.56,290.72,48.18,192.90,33.15
6/30/12,83.43,74.30,84.91,48.50,17.68,9.59,290.33,45.73,195.58,35.73
7/31/12,87.25,73.91,84.21,49.14,18.64,9.24,316.80,43.23,195.98,36.00
8/31/12,95.03,71.40,85.33,49.47,19.98,9.34,342.89,41.96,194.85,37.14
9/30/12,95.30,69.60,86.04,52.28,20.36,9.86,377.63,42.37,207.45,40.48
10/31/12,85.05,70.44,84.81,49.12,20.31,11.16,340.49,46.76,194.53,41.68
11/30/12,83.61,74.28,85.24,49.66,22.23,11.45,349.53,46.96,190.07,41.08
12/31/12,76.02,75.36,89.61,49.79,21.46,12.95,354.04,48.83,191.55,43.97
1/31/13,65.07,73.87,98.39,53.88,23.56,12.95,378.22,52.42,203.07,47.05
2/28/13,63.06,76.90,92.37,54.59,23.03,12.61,401.00,52.63,200.83,48.92
3/31/13,63.24,85.85,86.97,56.80,22.82,13.15,397.49,53.30,213.30,47.46
4/30/13,63.25,91.41,84.67,62.84,22.05,13.71,412.70,54.65,202.54,49.01
5/31/13,64.25,99.02,85.80,63.08,22.77,15.68,436.05,54.54,208.02,54.59
6/30/13,56.65,102.44,82.49,63.15,21.77,15.47,440.63,54.82,191.11,52.79
7/31/13,64.65,105.10,82.91,64.65,21.76,16.88,444.32,56.77,195.04,55.73
8/31/13,69.60,103.92,82.54,60.83,21.04,16.19,423.87,59.98,182.27,50.53
9/30/13,68.11,117.50,83.40,64.49,23.48,16.87,438.39,64.24,185.18,51.69
10/31/13,74.67,130.50,83.36,68.59,22.18,17.11,515.81,64.04,179.21,51.54
11/30/13,79.44,134.25,84.60,70.54,21.26,17.08,530.33,67.02,179.68,57.22
12/31/13,80.15,136.49,90.81,76.40,23.09,15.43,560.92,69.24,187.57,58.48
1/31/14,71.51,125.26,93.91,72.61,22.39,14.96,591.08,61.69,176.68,55.36
2/28/14,75.18,128.92,96.97,80.81,24.73,15.39,608.43,66.06,185.17,56.82
3/31/14,76.68,125.49,99.37,80.07,23.25,15.60,557.81,66.61,192.49,60.71
4/30/14,84.30,129.02,105.40,79.34,21.81,16.15,534.88,73.94,196.47,55.98
5/31/14,90.43,135.25,102.23,84.01,21.35,16.44,571.65,71.24,184.36,55.57
6/30/14,92.93,127.23,108.67,85.74,21.07,17.24,584.67,69.85,181.27,57.62
7/31/14,95.60,120.48,100.75,85.88,22.23,17.02,579.55,61.82,191.67,57.67
8/31/14,102.50,126.80,109.07,89.88,23.36,17.41,582.36,63.56,192.30,59.45
9/30/14,100.75,127.38,99.03,89.03,23.83,14.79,588.41,58.20,189.83,60.24
10/31/14,108.00,124.91,101.41,91.38,22.10,14.09,567.87,65.70,164.40,60.48
11/30/14,118.93,134.36,100.60,92.51,23.10,15.73,549.08,69.68,162.17,60.16
12/31/14,110.38,129.98,91.53,94.19,23.62,15.50,530.66,65.91,160.44,62.58
1/31/15,117.16,145.37,79.97,90.96,22.31,14.71,537.55,61.70,153.31,54.38
2/28/15,128.46,150.85,82.90,104.08,24.37,16.34,562.63,63.57,161.94,61.28
3/31/15,124.43,150.08,80.03,104.89,24.28,16.14,554.70,60.74,160.50,60.58
4/30/15,125.15,143.34,86.88,108.72,24.52,15.80,548.77,56.21,171.29,63.26
5/31/15,130.28,140.52,85.32,110.37,25.82,15.17,545.32,53.49,169.65,65.78
6/30/15,125.43,138.72,84.82,114.14,25.35,15.01,540.04,56.35,162.66,67.76
7/31/15,121.30,144.17,78.63,120.00,28.12,14.83,657.50,58.30,161.99,68.53
8/31/15,112.92,130.68,75.66,101.88,27.11,13.87,647.82,56.05,147.89,64.10
9/30/15,110.30,130.95,65.36,102.20,24.44,13.57,638.37,54.90,144.97,60.97
10/31/15,119.50,148.07,72.99,113.74,27.90,14.81,737.39,49.45,140.08,64.25
11/30/15,118.30,145.45,72.65,113.47,29.59,14.33,762.85,48.92,139.42,66.68
12/31/15,105.26,144.59,67.96,105.08,27.48,14.09,778.01,45.39,137.62,66.03
1/31/16,97.34,120.13,62.24,95.82,23.46,11.94,761.35,40.00,124.79,59.50
2/29/16,96.69,118.18,67.70,95.52,23.80,12.51,717.22,43.17,131.03,56.30
3/31/16,108.99,126.94,76.54,99.31,23.86,13.50,762.90,51.33,151.45,59.22
4/30/16,93.74,134.80,77.72,103.26,24.43,13.56,707.88,47.83,145.94,63.20
5/31/16,99.86,126.15,72.51,99.22,24.46,13.49,748.85,46.39,153.74,65.27
6/30/16,95.60,129.87,75.81,97.82,23.41,12.57,703.53,45.30,151.78,62.14
7/31/16,104.21,133.66,82.76,95.95,31.16,12.66,791.34,52.92,160.62,63.97
8/31/16,106.10,129.45,81.95,94.46,32.16,12.60,789.85,52.70,158.88,67.50
9/30/16,113.05,131.74,88.77,92.86,32.90,12.07,804.06,52.59,158.85,66.59
10/31/16,113.54,142.43,83.46,92.69,28.51,11.74,809.90,57.02,153.69,69.26
11/30/16,110.52,150.56,95.56,99.12,27.81,11.96,775.88,60.89,162.22,80.17
12/31/16,115.82,155.68,92.74,104.22,29.69,12.13,809.45,58.34,165.99,85.49
1/31/17,121.35,163.42,95.66,110.65,31.83,12.36,820.19,57.04,174.52,84.63
2/28/17,136.99,180.23,96.66,110.09,33.90,12.53,844.93,56.38,179.82,90.62
3/31/17,143.66,176.86,92.76,113.39,33.57,11.64,847.80,60.50,174.14,87.84
4/30/17,143.65,184.83,102.26,115.60,33.41,11.47,924.52,56.81,160.29,87.00
5/31/17,152.76,187.63,105.43,107.94,34.30,11.12,987.09,53.01,152.63,82.15
6/30/17,144.02,197.75,107.46,106.25,34.92,11.19,929.68,54.02,153.83,91.40
