DATE,ABC,BCD,CDE,DEF,EFG,FGH,GHI,HIJ,IJK,JKL
5/31/12,5134311900,595578396,594933617,1510311963,1044571099,3972301917,689823871,168295179,925791388,3469725411
6/30/12,5134311900,595578396,594933617,1510311963,1044571099,3972301917,689823871,168295179,925791388,3469725411
7/31/12,5134311900,595578396,594933617,1510311963,1044571099,3972301917,689823871,168295179,925791388,3469725411
8/31/12,5134311900,595578396,594933617,1510311963,1044571099,3972301917,689823871,168295179,925791388,3469725411
9/30/12,5134311900,595578396,594933617,1510311963,1044571099,3972301917,689823871,168295179,925791388,3469725411
10/31/12,5134311900,595578396,594933617,1510311963,1044571099,3972301917,689823871,168295179,925791388,3469725411
11/30/12,5134311900,595578396,594933617,1510311963,1044571099,3972301917,689823871,168295179,925791388,3469725411
12/31/12,5134311900,595578396,594933617,1510311963,1044571099,3972301917,689823871,168295179,925791388,3469725411
1/31/13,5134311900,595578396,594933617,1510311963,1044571099,3972301917,689823871,168295179,925791388,3469725411
2/28/13,5134311900,595578396,594933617,1510311963,1044571099,3972301917,689823871,168295179,925791388,3469725411
3/31/13,5134311900,595578396,594933617,1510311963,1044571099,3972301917,689823871,168295179,925791388,3469725411
4/30/13,5134311900,595578396,594933617,1510311963,1044571099,3972301917,689823871,168295179,925791388,3469725411
5/31/13,5134311900,595578396,594933617,1510311963,1044571099,3972301917,689823871,168295179,925791388,3469725411
6/30/13,5134311900,595578396,594933617,1510311963,1044571099,3972301917,689823871,168295179,925791388,3469725411
7/31/13,5134311900,595578396,594933617,1510311963,1044571099,3972301917,689823871,168295179,925791388,3469725411
8/31/13,5134311900,595578396,594933617,1510311963,1044571099,3972301917,689823871,168295179,925791388,3469725411
9/30/13,5134311900,595578396,594933617,1510311963,1044571099,3972301917,689823871,168295179,925791388,3469725411
10/31/13,5134311900,595578396,594933617,1510311963,1044571099,3972301917,689823871,168295179,925791388,3469725411
11/30/13,5134311900,595578396,594933617,1510311963,1044571099,3972301917,689823871,168295179,925791388,3469725411
12/31/13,5134311900,595578396,594933617,1510311963,1044571099,3972301917,689823871,168295179,925791388,3469725411
1/31/14,5134311900,595578396,594933617,1510311963,1044571099,3972301917,689823871,168295179,925791388,3469725411
2/28/14,5134311900,595578396,594933617,1510311963,1044571099,3972301917,689823871,168295179,925791388,3469725411
