DATE,ABC,BCD,CDE,DEF,EFG,FGH,GHI,HIJ,IJK,JKL
5/31/12,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
6/30/12,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
7/31/12,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
8/31/12,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
9/30/12,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
10/31/12,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
11/30/12,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
12/31/12,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
1/31/13,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
2/28/13,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
3/31/13,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
4/30/13,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
5/31/13,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
6/30/13,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
7/31/13,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
8/31/13,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
9/30/13,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
10/31/13,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
11/30/13,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
12/31/13,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
1/31/14,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
2/28/14,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
3/31/14,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
4/30/14,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
5/31/14,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
6/30/14,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
7/31/14,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
8/31/14,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
9/30/14,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
10/31/14,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
11/30/14,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
12/31/14,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
1/31/15,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
2/28/15,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
3/31/15,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
4/30/15,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
5/31/15,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
6/30/15,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
7/31/15,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
8/31/15,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
9/30/15,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
10/31/15,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
11/30/15,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
12/31/15,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
1/31/16,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
2/29/16,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
3/31/16,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
4/30/16,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
5/31/16,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
6/30/16,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
7/31/16,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
8/31/16,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
9/30/16,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
10/31/16,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
11/30/16,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
12/31/16,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
1/31/17,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
2/28/17,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
3/31/17,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
4/30/17,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
5/31/17,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
6/30/17,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
